"Date","District","Meantemp","Totalrain","meanAOI","meanADI","Number.of.Sites","Total.traps","Number.of.positive.traps","Nummosquito.per.1000.traps","Period","year","month"
2012-04-01,"New Territories West",23.7773333333333,323.25,0.0734166666666667,NA,12,660,48,NA,"2010 ~ 2019","2012","04"
2012-05-01,"Hong Kong Island & Kowloon",27.1118279569892,312.875,0.117041666666667,NA,24,1320,154,NA,"2010 ~ 2019","2012","05"
2012-05-01,"New Territories East",26.7677419354839,279.5,0.103375,NA,8,440,45,NA,"2010 ~ 2019","2012","05"
2012-05-01,"New Territories West",27.1535483870968,138.25,0.156583333333333,NA,12,660,103,NA,"2010 ~ 2019","2012","05"
2012-06-01,"Hong Kong Island & Kowloon",28.1544444444444,232.75,0.126375,NA,24,1320,167,NA,"2010 ~ 2019","2012","06"
2012-06-01,"New Territories East",27.6744444444444,321.833333333333,0.12375,NA,8,440,54,NA,"2010 ~ 2019","2012","06"
2012-06-01,"New Territories West",27.9626666666667,144.375,0.0988333333333333,NA,12,660,65,NA,"2010 ~ 2019","2012","06"
2012-07-01,"Hong Kong Island & Kowloon",28.6763440860215,390.625,0.050875,NA,24,1320,67,NA,"2010 ~ 2019","2012","07"
2012-07-01,"New Territories East",28.2087311827957,573.833333333333,0.081875,NA,8,440,36,NA,"2010 ~ 2019","2012","07"
2012-07-01,"New Territories West",28.3135483870968,408,0.0496666666666667,NA,12,660,33,NA,"2010 ~ 2019","2012","07"
2012-08-01,"Hong Kong Island & Kowloon",29.389247311828,154.25,0.07,NA,24,1320,92,NA,"2010 ~ 2019","2012","08"
2012-08-01,"New Territories East",28.8552836484983,131.333333333333,0.076125,NA,8,440,33,NA,"2010 ~ 2019","2012","08"
2012-08-01,"New Territories West",29.0154838709677,87.75,0.0728333333333333,NA,12,660,48,NA,"2010 ~ 2019","2012","08"
2012-09-01,"Hong Kong Island & Kowloon",27.8566666666667,195.125,0.0441666666666667,NA,24,1320,58,NA,"2010 ~ 2019","2012","09"
2012-09-01,"New Territories East",27.1499206349206,84.8333333333333,0.039,NA,8,440,17,NA,"2010 ~ 2019","2012","09"
2012-09-01,"New Territories West",27.6673333333333,49.125,0.04775,NA,12,660,32,NA,"2010 ~ 2019","2012","09"
2012-10-01,"Hong Kong Island & Kowloon",25.3064516129032,42.75,0.020625,NA,24,1320,27,NA,"2010 ~ 2019","2012","10"
2012-10-01,"New Territories East",24.7236559139785,53.8333333333333,0.031625,NA,8,440,14,NA,"2010 ~ 2019","2012","10"
2012-10-01,"New Territories West",25.3045161290323,50.25,0.02325,NA,12,660,15,NA,"2010 ~ 2019","2012","10"
2012-11-01,"Hong Kong Island & Kowloon",22.3788888888889,57,0.00504166666666667,NA,24,1320,7,NA,"2010 ~ 2019","2012","11"
2012-11-01,"New Territories East",21.2444444444444,88.3333333333333,0.016,NA,8,440,7,NA,"2010 ~ 2019","2012","11"
2012-11-01,"New Territories West",21.8166666666667,69,0.00775,NA,12,660,5,NA,"2010 ~ 2019","2012","11"
2012-12-01,"Hong Kong Island & Kowloon",18.1043010752688,47.375,0.00466666666666667,NA,24,1320,6,NA,"2010 ~ 2019","2012","12"
2012-12-01,"New Territories East",16.9096774193548,45.6666666666667,0.004375,NA,8,440,2,NA,"2010 ~ 2019","2012","12"
2012-12-01,"New Territories West",17.4109677419355,50.375,0.00141666666666667,NA,12,660,1,NA,"2010 ~ 2019","2012","12"
2013-01-01,"Hong Kong Island & Kowloon",16.9752688172043,3.25,0.000791666666666667,NA,24,1320,1,NA,"2010 ~ 2019","2013","01"
2013-01-01,"New Territories East",15.7322580645161,9.66666666666667,0,NA,8,440,0,NA,"2010 ~ 2019","2013","01"
2013-01-01,"New Territories West",16.2303225806452,2.625,0.00158333333333333,NA,12,660,1,NA,"2010 ~ 2019","2013","01"
2013-02-01,"Hong Kong Island & Kowloon",19.272619047619,2.375,0.00075,NA,24,1320,1,NA,"2010 ~ 2019","2013","02"
2013-02-01,"New Territories East",18.5857142857143,1,0,NA,8,440,0,NA,"2010 ~ 2019","2013","02"
2013-02-01,"New Territories West",19.0607142857143,1.125,0,NA,12,660,0,NA,"2010 ~ 2019","2013","02"
2013-03-01,"Hong Kong Island & Kowloon",20.6290322580645,123.125,0,NA,24,1320,0,NA,"2010 ~ 2019","2013","03"
2013-03-01,"New Territories East",19.7118279569892,111.666666666667,0,NA,8,440,0,NA,"2010 ~ 2019","2013","03"
2013-03-01,"New Territories West",20.5096774193548,122,0.0015,NA,12,660,1,NA,"2010 ~ 2019","2013","03"
2013-04-01,"Hong Kong Island & Kowloon",21.882619047619,185,0.0250833333333333,NA,24,1320,33,NA,"2010 ~ 2019","2013","04"
2013-04-01,"New Territories East",21.13,242.166666666667,0.0255,NA,8,440,11,NA,"2010 ~ 2019","2013","04"
2013-04-01,"New Territories West",21.7353333333333,207.625,0.0234166666666667,NA,12,660,15,NA,"2010 ~ 2019","2013","04"
2013-05-01,"Hong Kong Island & Kowloon",25.7602150537634,397.375,0.0982916666666667,NA,24,1320,130,NA,"2010 ~ 2019","2013","05"
2013-05-01,"New Territories East",25.4704086021505,421.166666666667,0.133375,NA,8,440,59,NA,"2010 ~ 2019","2013","05"
2013-05-01,"New Territories West",25.7622365591398,351.25,0.126833333333333,NA,12,660,84,NA,"2010 ~ 2019","2013","05"
2013-06-01,"Hong Kong Island & Kowloon",28.2533333333333,347.5,0.136416666666667,NA,24,1320,180,NA,"2010 ~ 2019","2013","06"
2013-06-01,"New Territories East",28.1644444444444,440.666666666667,0.15875,NA,8,440,70,NA,"2010 ~ 2019","2013","06"
2013-06-01,"New Territories West",28.0784761904762,288.5,0.128083333333333,NA,12,660,85,NA,"2010 ~ 2019","2013","06"
2013-07-01,"Hong Kong Island & Kowloon",28.0774193548387,398.375,0.085,NA,24,1320,112,NA,"2010 ~ 2019","2013","07"
2013-07-01,"New Territories East",28.005376344086,416.666666666667,0.075125,NA,8,440,33,NA,"2010 ~ 2019","2013","07"
2013-07-01,"New Territories West",27.9735483870968,284.875,0.03975,NA,12,660,26,NA,"2010 ~ 2019","2013","07"
2013-08-01,"Hong Kong Island & Kowloon",28.6172043010753,348.625,0.0735416666666667,NA,24,1320,97,NA,"2010 ~ 2019","2013","08"
2013-08-01,"New Territories East",28.6036482334869,392,0.07425,NA,8,440,33,NA,"2010 ~ 2019","2013","08"
2013-08-01,"New Territories West",28.2884086021505,273.25,0.041,NA,12,660,27,NA,"2010 ~ 2019","2013","08"
2013-09-01,"Hong Kong Island & Kowloon",27.7733333333333,360.625,0.0504583333333333,NA,24,1320,67,NA,"2010 ~ 2019","2013","09"
2013-09-01,"New Territories East",27.4802380952381,297.833333333333,0.085875,NA,8,440,38,NA,"2010 ~ 2019","2013","09"
2013-09-01,"New Territories West",27.4113333333333,281.625,0.0575833333333333,NA,12,660,38,NA,"2010 ~ 2019","2013","09"
2013-10-01,"Hong Kong Island & Kowloon",25.5652947719689,1.375,0.0225416666666667,NA,24,1320,30,NA,"2010 ~ 2019","2013","10"
2013-10-01,"New Territories East",25.0806451612903,2.66666666666667,0.03825,NA,8,440,17,NA,"2010 ~ 2019","2013","10"
2013-10-01,"New Territories West",25.2129032258064,6.125,0.0120833333333333,NA,12,660,8,NA,"2010 ~ 2019","2013","10"
2013-11-01,"Hong Kong Island & Kowloon",21.93,62.75,0.00775,NA,24,1320,10,NA,"2010 ~ 2019","2013","11"
2013-11-01,"New Territories East",21.0844444444444,46.5,0.00225,NA,8,440,1,NA,"2010 ~ 2019","2013","11"
2013-11-01,"New Territories West",21.4966666666667,50.625,0.005,NA,12,660,3,NA,"2010 ~ 2019","2013","11"
2013-12-01,"Hong Kong Island & Kowloon",16.052688172043,76,0.00075,NA,24,1320,1,NA,"2010 ~ 2019","2013","12"
2013-12-01,"New Territories East",14.4559139784946,72,0.00225,NA,8,440,1,NA,"2010 ~ 2019","2013","12"
2013-12-01,"New Territories West",15.3974193548387,113.75,0,NA,12,660,0,NA,"2010 ~ 2019","2013","12"
2014-01-01,"Hong Kong Island & Kowloon",16.2086021505376,0.125,0,NA,24,1320,0,NA,"2010 ~ 2019","2014","01"
2014-01-01,"New Territories East",15.258064516129,0,0,NA,8,440,0,NA,"2010 ~ 2019","2014","01"
2014-01-01,"New Territories West",15.9554838709677,0,0,NA,12,660,0,NA,"2010 ~ 2019","2014","01"
2014-02-01,"Hong Kong Island & Kowloon",15.5607142857143,35.625,0,NA,24,1320,0,NA,"2010 ~ 2019","2014","02"
2014-02-01,"New Territories East",14.777380952381,28.3333333333333,0,NA,8,440,0,NA,"2010 ~ 2019","2014","02"
2014-02-01,"New Territories West",15.2085714285714,34.875,0,NA,12,660,0,NA,"2010 ~ 2019","2014","02"
2014-03-01,"Hong Kong Island & Kowloon",18.8075268817204,152.4,0,NA,24,1320,0,NA,"2010 ~ 2019","2014","03"
2014-03-01,"New Territories East",18.446523297491,218.833333333333,0,NA,8,440,0,NA,"2010 ~ 2019","2014","03"
2014-03-01,"New Territories West",18.9129032258065,200.125,0,NA,12,660,0,NA,"2010 ~ 2019","2014","03"
2014-04-01,"Hong Kong Island & Kowloon",22.7277777777778,126.875,0.0122916666666667,NA,24,1320,16,NA,"2010 ~ 2019","2014","04"
2014-04-01,"New Territories East",22.5488888888889,118.666666666667,0.035375,NA,8,440,16,NA,"2010 ~ 2019","2014","04"
2014-04-01,"New Territories West",22.9086666666667,126.375,0.0175,NA,12,660,12,NA,"2010 ~ 2019","2014","04"
2014-05-01,"Hong Kong Island & Kowloon",26.2634408602151,711.875,0.0987083333333333,NA,24,1320,130,NA,"2010 ~ 2019","2014","05"
2014-05-01,"New Territories East",25.9548387096774,670.5,0.15475,NA,8,440,68,NA,"2010 ~ 2019","2014","05"
2014-05-01,"New Territories West",26.2367741935484,526.25,0.135,NA,12,660,89,NA,"2010 ~ 2019","2014","05"
2014-06-01,"Hong Kong Island & Kowloon",28.8377777777778,413.675,0.114291666666667,NA,24,1320,151,NA,"2010 ~ 2019","2014","06"
2014-06-01,"New Territories East",28.6455555555556,316.5,0.160625,NA,8,440,71,NA,"2010 ~ 2019","2014","06"
2014-06-01,"New Territories West",28.664,288.25,0.0900833333333333,NA,12,660,59,NA,"2010 ~ 2019","2014","06"
2014-07-01,"Hong Kong Island & Kowloon",29.6182795698925,231.2,0.0997083333333333,NA,24,1320,132,NA,"2010 ~ 2019","2014","07"
2014-07-01,"New Territories East",29.4150537634409,237.833333333333,0.171625,NA,8,440,76,NA,"2010 ~ 2019","2014","07"
2014-07-01,"New Territories West",29.2793548387097,140,0.0646666666666667,NA,12,660,43,NA,"2010 ~ 2019","2014","07"
2014-08-01,"Hong Kong Island & Kowloon",28.7956989247312,535.4,0.0612916666666667,NA,24,1320,81,NA,"2010 ~ 2019","2014","08"
2014-08-01,"New Territories East",28.647311827957,232.833333333333,0.087,NA,8,440,38,NA,"2010 ~ 2019","2014","08"
2014-08-01,"New Territories West",28.5401334816463,264.125,0.05775,NA,12,660,38,NA,"2010 ~ 2019","2014","08"
2014-09-01,"Hong Kong Island & Kowloon",28.7077777777778,126.9,0.042625,NA,24,1320,56,NA,"2010 ~ 2019","2014","09"
2014-09-01,"New Territories East",28.5177777777778,185.666666666667,0.039875,NA,8,440,18,NA,"2010 ~ 2019","2014","09"
2014-09-01,"New Territories West",28.466,77,0.0365833333333333,NA,12,660,24,NA,"2010 ~ 2019","2014","09"
2014-10-01,"Hong Kong Island & Kowloon",25.9494623655914,118.575,0.0214166666666667,NA,24,1320,28,NA,"2010 ~ 2019","2014","10"
2014-10-01,"New Territories East",25.7258064516129,16.8333333333333,0.03425,NA,8,440,15,NA,"2010 ~ 2019","2014","10"
2014-10-01,"New Territories West",26.0030752688172,22,0.0160833333333333,NA,12,660,11,NA,"2010 ~ 2019","2014","10"
2014-11-01,"Hong Kong Island & Kowloon",22.5522222222222,49.575,0.00391666666666667,NA,24,1320,5,NA,"2010 ~ 2019","2014","11"
2014-11-01,"New Territories East",22.1711111111111,22,0.007,NA,8,440,3,NA,"2010 ~ 2019","2014","11"
2014-11-01,"New Territories West",22.4006666666667,29.625,0.003,NA,12,660,2,NA,"2010 ~ 2019","2014","11"
2014-12-01,"Hong Kong Island & Kowloon",16.2763440860215,39.575,0.00075,NA,24,1320,1,NA,"2010 ~ 2019","2014","12"
2014-12-01,"New Territories East",15.2591397849462,41,0.00475,NA,8,440,2,NA,"2010 ~ 2019","2014","12"
2014-12-01,"New Territories West",15.5935483870968,34.125,0,NA,12,660,0,NA,"2010 ~ 2019","2014","12"
2015-01-01,"Hong Kong Island & Kowloon",16.2634408602151,38.275,0,NA,30,1650,0,NA,"2010 ~ 2019","2015","01"
2015-01-01,"New Territories East",15.5666666666667,43.6666666666667,0,NA,9,495,0,NA,"2010 ~ 2019","2015","01"
2015-01-01,"New Territories West",16.1348387096774,25.25,0,NA,13,715,0,NA,"2010 ~ 2019","2015","01"
2015-02-01,"Hong Kong Island & Kowloon",17.525,27.575,0,NA,30,1650,0,NA,"2010 ~ 2019","2015","02"
2015-02-01,"New Territories East",17.1547619047619,17.6666666666667,0,NA,9,495,0,NA,"2010 ~ 2019","2015","02"
2015-02-01,"New Territories West",17.6735714285714,26.125,0,NA,13,715,0,NA,"2010 ~ 2019","2015","02"
2015-03-01,"Hong Kong Island & Kowloon",19.9688172043011,22.85,0.0015,NA,30,1650,2,NA,"2010 ~ 2019","2015","03"
2015-03-01,"New Territories East",19.5408602150538,14.5,0.0025,NA,9,495,1,NA,"2010 ~ 2019","2015","03"
2015-03-01,"New Territories West",20.1948387096774,11.875,0.00158333333333333,NA,13,715,1,NA,"2010 ~ 2019","2015","03"
2015-04-01,"Hong Kong Island & Kowloon",23.1988888888889,53.9,0.0240416666666667,NA,30,1650,40,NA,"2010 ~ 2019","2015","04"
2015-04-01,"New Territories East",23.0088888888889,47.3333333333333,0.01825,NA,9,495,9,NA,"2010 ~ 2019","2015","04"
2015-04-01,"New Territories West",23.128,55.75,0.0158333333333333,NA,13,715,11,NA,"2010 ~ 2019","2015","04"
2015-05-01,"Hong Kong Island & Kowloon",27.2215053763441,496.75,0.0830416666666667,NA,30,1650,137,NA,"2010 ~ 2019","2015","05"
2015-05-01,"New Territories East",27.0301075268817,588,0.07825,NA,9,495,39,NA,"2010 ~ 2019","2015","05"
2015-05-01,"New Territories West",27.2161290322581,365.75,0.061,NA,13,715,44,NA,"2010 ~ 2019","2015","05"
2015-06-01,"Hong Kong Island & Kowloon",29.4422222222222,259.4,0.117291666666667,NA,30,1650,194,NA,"2010 ~ 2019","2015","06"
2015-06-01,"New Territories East",29.4855555555556,187.833333333333,0.164375,NA,9,495,81,NA,"2010 ~ 2019","2015","06"
2015-06-01,"New Territories West",29.202,167.875,0.08225,NA,13,715,59,NA,"2010 ~ 2019","2015","06"
2015-07-01,"Hong Kong Island & Kowloon",28.9376344086022,428.9,0.05275,NA,30,1650,87,NA,"2010 ~ 2019","2015","07"
2015-07-01,"New Territories East",28.6838709677419,315.333333333333,0.100875,NA,9,495,50,NA,"2010 ~ 2019","2015","07"
2015-07-01,"New Territories West",28.6593548387097,283,0.04125,NA,13,715,29,NA,"2010 ~ 2019","2015","07"
2015-08-01,"Hong Kong Island & Kowloon",29.047311827957,177.75,0.0699166666666667,NA,30,1650,115,NA,"2010 ~ 2019","2015","08"
2015-08-01,"New Territories East",28.9322580645161,237.666666666667,0.09175,NA,9,495,45,NA,"2010 ~ 2019","2015","08"
2015-08-01,"New Territories West",28.6606451612903,181.5,0.05775,NA,13,715,41,NA,"2010 ~ 2019","2015","08"
2015-09-01,"Hong Kong Island & Kowloon",28.2322222222222,110.525,0.0365,NA,30,1650,60,NA,"2010 ~ 2019","2015","09"
2015-09-01,"New Territories East",27.9655555555556,145.333333333333,0.08325,NA,9,495,41,NA,"2010 ~ 2019","2015","09"
2015-09-01,"New Territories West",28,92.5,0.0608333333333333,NA,13,715,43,NA,"2010 ~ 2019","2015","09"
2015-10-01,"Hong Kong Island & Kowloon",25.805376344086,131.6,0.0347333333333333,NA,30,1650,57,NA,"2010 ~ 2019","2015","10"
2015-10-01,"New Territories East",25.310752688172,280.5,0.0356666666666667,NA,9,495,18,NA,"2010 ~ 2019","2015","10"
2015-10-01,"New Territories West",25.5219139784946,154.375,0.0285384615384615,NA,13,715,20,NA,"2010 ~ 2019","2015","10"
2015-11-01,"Hong Kong Island & Kowloon",24.0022222222222,26.2,0.0092,NA,30,1650,15,NA,"2010 ~ 2019","2015","11"
2015-11-01,"New Territories East",23.4577777777778,26.6666666666667,0.00944444444444444,NA,9,495,5,NA,"2010 ~ 2019","2015","11"
2015-11-01,"New Territories West",23.7593333333333,8.375,0.00684615384615385,NA,13,715,5,NA,"2010 ~ 2019","2015","11"
2015-12-01,"Hong Kong Island & Kowloon",18.6451612903226,63.025,0.00123333333333333,NA,30,1650,2,NA,"2010 ~ 2019","2015","12"
2015-12-01,"New Territories East",17.6258064516129,66.8333333333333,0.002,NA,9,495,1,NA,"2010 ~ 2019","2015","12"
